case,matter_no,region,project_name,filed_date,approved_date,status,disposition,kv,cost_usd_m,cost_quality,isd_year,work_type,driver,dc_strict,dc_broad,key_doc_kind,key_doc_url,scc_case_url,caption
PUR-2025-00077,146108,Central,Chickahominy-Elmont Line #557 Rebuild + New Future 230 kV Lines,2025-05-12,2026-01-30,closed,Approved,500,186.6,H,2028,rebuild|new_line,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/8@bb01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146108,Virginia Electric and Power Company - Approval and Certification of Electric Transmission Facilities: Chickahominy-Elmont Line #557 Rebuild and New Future 230 kV Lines
PUR-2025-00073,146101,Central,Duval-Midlothian Lines and Duval Substation,2025-04-24,2026-02-09,closed,Approved,500,121.1,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/8@%24301%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/146101,Virginia Electric and Power Company - For approval and certification of electric transmission facilities 230 kV Duval-Midlothian Lines and Duval Substation
PUR-2025-00042,145925,Central,Technology Boulevard Lines + Bunker Substation + Saltwood Switching Station,2025-03-07,2026-02-19,closed,Approved,230,58.2,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/8@my01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145925,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV Technology Boulevard Lines, Bunker Substation, and Saltwood Switching Station"
PUR-2025-00014,145853,Central,Nebula-Raines Line #2399 + Nebula Switching Station + Cloud-Nebula Line,2025-01-27,2025-10-03,closed,Granted,230,129.5,H,2028,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/88ds01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145853,"Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV Nebula-Raines Line #2399, 230 kV Nebula Switching Station, and 230 kV Cloud-Nebula Line Project"
PUR-2024-00221,145749,Central,Carmel Church + Ruther Glen 230 kV Transmission Line Projects,2024-12-13,2025-09-26,closed,Approved,230,80.6,M,2027,new_line|loop,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/888y01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/145749,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Carmel Church and Ruther Glen 230 kV Transmission Line Projects
PUR-2023-00206,144663,Central,Germanna Lines and Germanna Substation,2023-11-20,2024-08-07,closed,Approved,230,54.3,H,2026,new_line|new_substation,data_center,1,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/80_501%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144663,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: 230 kV Germanna Lines and Germanna Substation
PUR-2023-00168,144483,Central,Carson-Locks Line #249 Partial Rebuild,2023-09-29,2024-05-31,closed,Approved,230,25.0,H,2025,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7zs101%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144483,Virginia Electric and Power Company - For Approval and Certification of Electric Transmission Facilities: Carson-Locks 230 kV Line #249 Partial Rebuild Project
PUR-2023-00110,144199,Central,Elmont-White Oak #2075 + Chickahominy-White Oak #2294 + White Oak Substation Expansion,2023-06-26,2024-03-25,closed,Approved,500,44.6,H,2026,new_line|substation_upgrade,load_growth_other,0,1,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7y6501%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/144199,"Virginia Electric and Power Co - Approval and certification of electric transmission facilities: 230 kV Elmont-White Oak Line #2075, 230 kV Chickahominy-White Oak Line #2294, and White Oak Substation Expansion"
PUR-2023-00054,143984,Central,Chesterfield-Hopewell Lines #211/#228 Partial Rebuild,2023-04-07,2024-01-22,closed,Approved,230,14.3,H,2025,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/7wtd01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/143984,Virginia Electric and Power Company for Approval and Certification of Electric Transmission Facilities: Chesterfield-Hopewell Lines #211 and #228 Partial Rebuild Project
PUR-2021-00194,142373,Central,Lines #2002 + #238/249 Partial Rebuild (Reams-Carson),2021-08-17,2022-03-11,closed,Approved,230,12.4,H,2023,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/6r0z01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142373,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Transmission Lines #2002 and #238/249 230 kV Partial Rebuild
PUR-2021-00082,142064,Central,Elmont-Ladysmith Line #574 500 kV Rebuild,2021-04-28,,closed,Approved,500,92.2,H,2025,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/71%501%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/142064,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Elmont-Ladysmith 500 kV Transmission Line #574 Rebuild and Related Projects
PUR-2020-00239,141512,Central,Allied-Chesterfield Line #2049 Partial Rebuild,2020-10-16,2021-03-23,closed,Approved,230,4.8,H,2022,rebuild,reliability_aging,0,0,final_order,http://www.scc.virginia.gov/docketsearch/DOCS/4s%24j01%21.PDF,https://scc.virginia.gov/docketsearch#/caseDetails/141512,Virginia Electric and Power Company - For approval and certification of electric transmission facilities: Allied-Chesterfield 230 kV Transmission Line #2049 Partial Rebuild Project
